CheckingAcctStat,Duration,CreditHistory,Purpose,Savings,Employment,InstallmentRatePecnt,PresentResidenceTime,Property,Age,Telephone,CreditStatus
A14,0.117647059,A34,A42,A65,A75,0.333333333,1,A122,0.535714286,A192,0
A12,0.294117647,A32,A41,A61,A73,0,1,A123,0.071428571,A191,1
A14,0.088235294,A32,A46,A63,A75,1,1,A124,0.482142857,A192,0
A12,0.294117647,A34,A410,A61,A73,0.333333333,0.666666667,A123,0.357142857,A192,1
A12,0.602941176,A32,A43,A62,A73,1,1,A122,0.035714286,A191,1
A14,0.117647059,A32,A42,A61,A73,0.666666667,0.333333333,A121,0.089285714,A191,0
A14,0.117647059,A34,A49,A61,A73,1,0.333333333,A121,0.178571429,A192,0
A12,0.102941176,A33,A43,A61,A74,0.333333333,1,A122,0.571428571,A191,0
A11,0.117647059,A32,A43,A61,A73,0.333333333,0.333333333,A121,0.017857143,A192,0
A12,0.029411765,A34,A48,A65,A74,0,0.666666667,A122,0.357142857,A191,0
A14,0.735294118,A30,A41,A65,A73,0.333333333,0.333333333,A122,0.357142857,A191,0
A11,0.294117647,A32,A43,A62,A73,1,0.333333333,A123,0.232142857,A191,1
A11,0.426470588,A34,A42,A63,A73,0,1,A123,0.071428571,A191,1
A12,0.470588235,A34,A40,A61,A72,1,1,A123,0.142857143,A191,1
A14,0.470588235,A33,A43,A61,A73,1,0.333333333,A123,0.125,A192,1
A14,0.647058824,A34,A46,A61,A73,0,0.666666667,A124,0.214285714,A192,0
A11,0.117647059,A32,A42,A61,A73,0.333333333,0.333333333,A122,0.178571429,A191,0
A12,0.294117647,A33,A43,A62,A74,0.666666667,0.333333333,A122,0.071428571,A192,0
A11,0.294117647,A33,A40,A61,A71,1,0.333333333,A121,0.428571429,A191,1
A11,0.117647059,A32,A43,A61,A73,1,0.333333333,A121,0.375,A191,0
A14,0.029411765,A34,A43,A62,A73,0,0,A122,0.142857143,A191,0
A14,0.117647059,A34,A42,A63,A74,0.666666667,1,A123,0.321428571,A192,0
A12,0.647058824,A32,A40,A65,A74,0,0.333333333,A123,0.089285714,A191,0
A12,0.117647059,A32,A43,A63,A73,0.666666667,0,A123,0.125,A192,0
A11,0.161764706,A33,A42,A61,A75,0,1,A122,0.142857143,A191,0
A11,0.294117647,A32,A42,A61,A75,1,0.333333333,A122,0.357142857,A192,1
A12,0.117647059,A34,A40,A61,A74,0.333333333,0.666666667,A121,0.5,A191,0
A14,0.823529412,A33,A43,A61,A74,0.333333333,1,A123,0.035714286,A192,0
A12,0.647058824,A30,A49,A62,A74,1,1,A124,0.267857143,A191,1
A11,0.294117647,A32,A40,A65,A73,1,1,A121,0.107142857,A191,1
A14,0.294117647,A34,A45,A61,A75,0.666666667,1,A124,0.446428571,A191,0
A12,0.117647059,A32,A42,A61,A73,1,0.333333333,A122,0.321428571,A191,1
A11,0.117647059,A34,A41,A61,A75,1,0.666666667,A121,0.625,A191,0
A14,0.470588235,A34,A41,A64,A75,1,0.333333333,A123,0.339285714,A192,0
A14,0.117647059,A34,A49,A65,A75,1,1,A124,0.678571429,A191,0
A13,0.161764706,A32,A46,A61,A75,1,1,A123,0.375,A192,0
A14,0.382352941,A34,A43,A65,A75,0.666666667,0.333333333,A123,0.375,A192,0
A12,0.073529412,A32,A43,A61,A72,1,0.333333333,A123,0.053571429,A192,1
A14,0.294117647,A34,A41,A65,A74,0.666666667,1,A122,0.428571429,A192,0
A14,0.470588235,A32,A46,A65,A73,0.333333333,1,A124,0.285714286,A192,0
A12,0.088235294,A32,A40,A61,A71,0.333333333,1,A124,0.910714286,A192,0
A14,0.205882353,A32,A42,A61,A73,0.666666667,1,A121,0.428571429,A192,0
A14,0.294117647,A33,A42,A62,A73,0.333333333,0.666666667,A122,0.285714286,A191,0
A12,0.294117647,A34,A46,A61,A72,0.333333333,1,A124,0.089285714,A192,0
A14,0.117647059,A34,A46,A65,A74,1,0.333333333,A123,0.75,A191,0
A14,0.294117647,A32,A41,A64,A73,0.333333333,1,A123,0.160714286,A192,0
A11,0.205882353,A32,A40,A61,A72,0,0.333333333,A123,0.071428571,A191,1
A11,0.029411765,A34,A40,A65,A72,0,0.666666667,A121,0.446428571,A191,0
A11,0.117647059,A32,A43,A61,A73,1,0.666666667,A122,0.089285714,A191,0
A11,0.058823529,A34,A40,A61,A74,0,1,A121,0.357142857,A191,0
A14,0.647058824,A34,A41,A62,A73,0.333333333,1,A123,0.089285714,A191,1
A14,0.073529412,A34,A46,A65,A75,1,1,A122,0.392857143,A191,0
A12,0.294117647,A32,A42,A61,A74,0.666666667,0.666666667,A123,0.428571429,A192,1
A12,0.044117647,A32,A43,A61,A73,0.333333333,0.333333333,A121,0.285714286,A191,0
A14,0.294117647,A34,A43,A61,A73,1,0.333333333,A121,0.285714286,A191,0
A14,0,A34,A43,A61,A74,0.333333333,0,A121,0.410714286,A191,0
A12,0.647058824,A32,A43,A64,A74,0,0.333333333,A124,0.142857143,A192,1
A14,0.117647059,A32,A40,A63,A73,0.333333333,0.333333333,A122,0.125,A191,1
A14,0.470588235,A32,A49,A62,A74,0.333333333,0.333333333,A123,0.214285714,A192,0
A11,0.205882353,A31,A40,A61,A74,1,1,A124,0.232142857,A191,1
A14,0.205882353,A32,A41,A65,A73,0.333333333,0,A122,0.214285714,A192,0
A14,0.470588235,A34,A40,A61,A74,1,1,A123,0.321428571,A192,0
A14,0.102941176,A34,A43,A62,A71,1,1,A121,0.678571429,A191,0
A13,0.029411765,A34,A46,A61,A73,0.333333333,1,A122,0.553571429,A191,0
A12,0.338235294,A32,A49,A61,A73,1,0.333333333,A123,0.303571429,A192,1
A14,0.161764706,A32,A42,A65,A74,0,1,A121,0.25,A191,0
A14,0.117647059,A32,A43,A61,A72,0.333333333,0.333333333,A123,0.178571429,A191,0
A14,0.294117647,A34,A410,A61,A71,1,0.333333333,A124,0.142857143,A192,0
A11,0.117647059,A31,A48,A61,A75,1,0,A123,0.464285714,A191,0
A11,0.470588235,A34,A42,A61,A72,1,1,A124,0.071428571,A192,1
A14,0.029411765,A32,A43,A61,A73,0.666666667,0,A121,0.178571429,A191,0
A14,0.161764706,A32,A46,A62,A73,0.666666667,0.333333333,A122,0.375,A192,1
A13,0.558823529,A30,A49,A61,A72,0.333333333,0,A122,0.25,A191,0
A13,0.117647059,A32,A43,A61,A73,0.666666667,0,A123,0.089285714,A191,0
A11,0.117647059,A32,A40,A61,A72,1,0,A121,0.25,A191,1
A14,0.647058824,A34,A49,A65,A75,1,0.333333333,A123,0.482142857,A191,0
A12,0.205882353,A32,A41,A61,A73,0,0.666666667,A123,0.035714286,A192,0
A14,0.161764706,A32,A41,A61,A74,0.333333333,0.333333333,A123,0.25,A191,0
A11,0.205882353,A32,A40,A62,A73,0.666666667,1,A123,0.285714286,A192,0
A14,0.161764706,A34,A43,A61,A73,1,1,A124,0.285714286,A192,0
A14,0.294117647,A34,A43,A62,A75,1,1,A122,0.589285714,A191,0
A12,0.294117647,A32,A43,A61,A72,0,0,A122,0.053571429,A192,1
A14,0.294117647,A33,A49,A65,A73,1,1,A121,0.232142857,A192,0
A12,0.338235294,A32,A49,A61,A72,1,0,A122,0.232142857,A192,0
A13,0.117647059,A32,A42,A61,A72,1,0,A122,0.25,A192,0
A14,0.117647059,A32,A46,A61,A75,1,1,A122,0.5,A192,0
A11,0.205882353,A32,A43,A65,A74,0.333333333,1,A123,0.071428571,A191,0
A12,0.338235294,A30,A49,A61,A75,0.333333333,1,A124,0.410714286,A192,1
A14,0.470588235,A32,A42,A61,A71,1,0.333333333,A123,0.125,A192,1
A12,0.161764706,A31,A40,A62,A71,0,0.333333333,A122,0.267857143,A192,1
A11,0.647058824,A32,A43,A61,A74,0,0,A121,0.267857143,A192,1
A12,0.029411765,A32,A40,A65,A71,0,0.333333333,A122,0.071428571,A192,1
A12,0.25,A32,A42,A65,A74,0.333333333,0.666666667,A123,0.285714286,A192,0
A11,0.117647059,A31,A40,A61,A72,1,0.333333333,A123,0.482142857,A192,1
A12,0.205882353,A34,A42,A61,A71,1,1,A122,0.375,A192,0
A14,0.205882353,A34,A41,A65,A71,0.333333333,1,A124,0.339285714,A192,0
A11,0.647058824,A32,A40,A61,A75,1,1,A124,0.410714286,A191,1
A14,0.205882353,A32,A40,A65,A74,1,0.666666667,A122,0.232142857,A191,0
A14,0.117647059,A32,A43,A61,A74,1,0.333333333,A123,0.214285714,A192,0
A14,0.161764706,A34,A43,A63,A73,0.333333333,0.333333333,A122,0.5,A191,0
A14,0.294117647,A32,A42,A63,A75,0.666666667,1,A122,0.607142857,A191,0
A14,0.073529412,A32,A42,A61,A72,0.333333333,0.333333333,A123,0,A191,1
A14,0.294117647,A32,A43,A63,A74,1,0,A123,0.160714286,A191,0
A14,0.294117647,A34,A42,A61,A74,1,0.666666667,A122,0.375,A191,0
A12,0.117647059,A32,A45,A61,A73,1,0.333333333,A123,0.196428571,A191,1
A11,0.117647059,A31,A43,A61,A73,1,0,A124,0.178571429,A191,1
A14,0.294117647,A33,A40,A65,A75,1,1,A123,0.625,A192,0
A11,0.382352941,A30,A49,A65,A72,0.333333333,0.666666667,A123,0.107142857,A191,0
A11,0.161764706,A32,A49,A61,A73,1,1,A122,0.053571429,A191,0
A11,0.117647059,A32,A44,A62,A71,1,0.666666667,A122,0.053571429,A191,1
A14,0.25,A32,A41,A65,A73,0,0.666666667,A123,0.125,A191,0
A14,0.426470588,A34,A41,A61,A74,0.666666667,0.333333333,A123,0.285714286,A192,0
A11,0.234566231,A32,A43,A61,A73,0.386120238,0.333333333,A122,0.104264864,A191,1
A11,0.233890244,A32,A43,A61,A73,0.477427928,0.333333333,A121,0.09049466,A191,1
A11,0.388903917,A32,A43,A61,A73,0.666666667,0.333333333,A123,0.124410814,A192,1
A11,0.394987805,A30,A43,A61,A73,0.666666667,0.333333333,A123,0.207032039,A192,1
A14,0.148514596,A34,A46,A62,A73,0.947213096,0.333333333,A121,0.181449421,A191,1
A14,0.149866571,A32,A46,A62,A73,0.855905405,0.333333333,A121,0.195219625,A191,1
A11,0.232382573,A32,A48,A61,A72,1,1,A122,0.080651736,A191,1
A11,0.229678623,A32,A48,A61,A74,1,1,A122,0.039341124,A191,1
A12,0.23674989,A34,A43,A62,A75,1,0.820853718,A124,0.309327414,A191,1
A12,0.238101865,A31,A43,A62,A72,1,1,A124,0.336867822,A191,1
A14,0.241117207,A32,A43,A61,A73,1,0.333333333,A123,0.1849166,A191,1
A13,0.246525107,A34,A43,A61,A73,1,0.333333333,A123,0.129835784,A191,1
A11,0.294117647,A32,A40,A65,A73,1,0.333333333,A124,0.268446329,A191,1
A11,0.294117647,A32,A40,A65,A75,1,0.333333333,A123,0.185825104,A191,1
A11,0.201515036,A32,A46,A61,A72,1,1,A122,0.086407721,A191,1
A11,0.197459111,A32,A46,A61,A72,1,1,A122,0.072637517,A191,1
A11,0.417587795,A32,A49,A61,A72,0.719453571,1,A122,0.089285714,A191,1
A11,0.422995696,A32,A49,A61,A72,0.810761261,1,A122,0.089285714,A191,1
A11,0.267617427,A32,A45,A61,A72,0,0.358292565,A124,0.103086493,A192,1
A11,0.270321377,A32,A45,A61,A72,0,0.031147608,A124,0.254558737,A192,1
A11,0.274316562,A31,A40,A62,A74,0.333333333,0.487520384,A121,0.478154429,A191,1
A12,0.269584649,A32,A40,A62,A74,0.333333333,0.635519059,A124,0.202750347,A191,1
A11,0.216948805,A32,A43,A61,A72,0.719453571,1,A122,0.083529729,A191,1
A11,0.213568867,A32,A43,A61,A72,0.810761261,1,A122,0.05598932,A191,1
A11,0.117647059,A34,A40,A61,A75,0.719453571,0.820853718,A124,0.308738228,A192,1
A11,0.117647059,A34,A40,A61,A75,0.810761261,0.968852392,A122,0.418899861,A192,1
A12,0.232382573,A32,A42,A63,A72,0.947213096,1,A121,0.163592279,A191,1
A14,0.229678623,A32,A42,A63,A73,0.855905405,1,A123,0.177362483,A191,1
A12,0.294117647,A33,A40,A61,A75,1,1,A123,0.69472895,A191,1
A14,0.294117647,A32,A40,A61,A75,1,1,A123,0.515716297,A191,1
A12,0.144147279,A31,A40,A62,A72,0,0.179146282,A124,0.097330507,A191,1
A12,0.141443329,A31,A40,A62,A72,0,0.031147608,A122,0.221262344,A191,1
A14,0.439720698,A31,A41,A65,A71,1,0.179146282,A123,0.202705807,A192,1
A14,0.438368723,A32,A41,A65,A71,1,0.031147608,A121,0.574501317,A192,1
A11,0.291933989,A32,A41,A61,A75,0.613879762,1,A124,0.399202314,A192,1
A12,0.289906026,A32,A41,A61,A71,0.522572072,1,A124,0.344121498,A192,1
A12,0.148514596,A32,A42,A61,A72,0.438907142,0.179146282,A121,0.252877993,A191,1
A13,0.149866571,A32,A42,A61,A73,0.621522523,0,A121,0.266648197,A191,1
A12,0.117647059,A34,A43,A65,A75,1,0.845812949,A123,0.3698332,A191,1
A14,0.117647059,A32,A43,A65,A75,1,0.697814275,A122,0.259671568,A191,1
A11,0.232382573,A32,A43,A61,A72,1,1,A123,0.169280328,A191,1
A11,0.229678623,A34,A43,A61,A75,1,0.937704784,A121,0.637467267,A191,1
A12,0.508006748,A31,A410,A62,A75,0.613879762,1,A124,0.462518157,A192,1
A12,0.515442611,A30,A410,A62,A75,0.522572072,1,A124,0.71038183,A192,1
A14,0.532323309,A34,A42,A61,A73,0.438907142,0.487520384,A123,0.166470271,A192,1
A12,0.53502726,A30,A42,A61,A73,0.621522523,0.635519059,A123,0.19401068,A192,1
A11,0.269801085,A32,A42,A61,A75,1,0.691625898,A122,0.275901936,A191,1
A11,0.274532998,A32,A42,A61,A75,1,0.364480941,A123,0.399833772,A191,1
A11,0.523588676,A33,A40,A61,A74,0.719453571,0.641707435,A124,0.502288807,A191,1
A11,0.518180775,A32,A40,A61,A73,0.810761261,1,A124,0.598680236,A191,1
A11,0.175014816,A31,A49,A61,A72,1,0.179146282,A121,0.08006255,A191,1
A13,0.173662841,A34,A49,A61,A72,1,0.093442824,A121,0.121373162,A191,1
A12,0.408853161,A32,A40,A61,A72,0.719453571,0.641707435,A123,0.241955207,A192,1
A12,0.406149211,A32,A40,A61,A72,0.810761261,1,A123,0.118023371,A192,1
A14,0.163948364,A33,A49,A63,A72,1,0.691625898,A123,0.273023943,A191,1
A14,0.165976327,A33,A49,A63,A72,1,0.302185725,A121,0.383185575,A191,1
A11,0.10221329,A32,A40,A61,A75,0.719453571,0.691625898,A124,0.532315043,A192,1
A11,0.101537303,A32,A40,A61,A72,0.810761261,0.395628549,A124,0.174289737,A192,1
A11,0.179382133,A33,A43,A61,A75,1,0.641707435,A121,0.652669493,A191,1
A11,0.182086083,A32,A43,A61,A72,1,1,A121,0.528737656,A191,1
A11,0.179382133,A32,A40,A65,A73,1,0.333333333,A121,0.105964485,A191,1
A11,0.182086083,A32,A40,A65,A73,1,0.333333333,A122,0.271206934,A191,1
A11,0.179382133,A32,A40,A61,A74,1,0.179146282,A122,0.179681864,A191,1
A11,0.182086083,A34,A40,A61,A75,1,0.031147608,A121,0.441315741,A191,1
A12,0.58532375,A30,A43,A61,A73,0.947213096,0.179146282,A123,0.245943635,A192,1
A12,0.582619799,A30,A43,A61,A73,0.855905405,0.031147608,A123,0.39741588,A192,1
A11,0.461853602,A32,A41,A61,A75,0.719453571,1,A124,0.450484936,A192,1
A11,0.453741751,A30,A41,A61,A75,0.810761261,1,A124,0.299012691,A192,1
A11,0.144147279,A32,A42,A61,A72,0,1,A121,0.142267957,A191,1
A14,0.141443329,A32,A42,A61,A72,0,1,A122,0.224889181,A191,1
A11,0.221316121,A32,A43,A61,A73,0.613879762,0.333333333,A122,0.092163707,A192,1
A11,0.221992109,A32,A43,A61,A73,0.522572072,0.333333333,A121,0.105933911,A192,1
A11,0.179382133,A31,A42,A61,A72,0.438907142,0,A123,0.508044793,A192,1
A11,0.182086083,A31,A42,A61,A72,0.621522523,0.031147608,A122,0.631976629,A192,1
A12,0.331684319,A30,A43,A61,A73,1,0.333333333,A123,0.148023943,A192,1
A13,0.325600431,A32,A43,A61,A72,1,0.333333333,A123,0.258185575,A192,1
A12,0.647058824,A30,A410,A61,A73,0.052786904,0.333333333,A122,0.202184557,A192,1
A12,0.647058824,A30,A410,A61,A73,0.144094595,0.364480941,A122,0.229724965,A192,1
A11,0.647058824,A31,A49,A61,A72,0.386120238,1,A123,0.126699621,A191,1
A11,0.647058824,A31,A49,A61,A74,0.477427928,1,A123,0.305712274,A191,1
A11,0.21024967,A30,A49,A62,A73,1,0.641707435,A123,0.16993745,A191,1
A12,0.214305595,A34,A49,A62,A73,1,1,A123,0.128626838,A191,1
A11,0.257328248,A32,A40,A61,A72,0.561092858,0.691625898,A123,0.134744414,A191,1
A11,0.25958154,A32,A40,A61,A73,0.378477477,0.333333333,A123,0.437688904,A191,1
A11,0.347118087,A30,A40,A61,A75,1,1,A123,0.263211593,A191,1
A11,0.341710187,A31,A40,A61,A73,1,1,A123,0.497305062,A191,1
A13,0.708793898,A33,A49,A61,A75,0.719453571,1,A124,0.531068735,A192,1
A11,0.711497848,A32,A49,A61,A75,0.810761261,1,A124,0.765162205,A192,1
A11,0.594058383,A32,A40,A61,A74,0.894426191,0.333333333,A124,0.097919693,A192,1
A12,0.599466284,A32,A40,A61,A74,0.711810811,0.302185725,A124,0.139230305,A192,1
A11,0.23674989,A31,A42,A63,A74,1,1,A124,0.226386871,A192,1
A11,0.238101865,A32,A42,A63,A72,1,1,A124,0.198846463,A192,1
A14,0.291933989,A32,A43,A61,A73,0.666666667,0.641707435,A122,0.038592279,A191,1
A14,0.289906026,A32,A43,A61,A71,0.666666667,0.968852392,A121,0.052362483,A191,1
A11,0.232382573,A34,A40,A61,A75,1,0.487520384,A122,0.660193036,A191,1
A11,0.229678623,A34,A40,A61,A75,1,0.697814275,A122,0.315937934,A191,1
A12,0.117647059,A32,A40,A61,A75,1,1,A123,0.392857143,A191,1
A12,0.117647059,A33,A40,A61,A75,1,1,A123,0.392857143,A191,1
A12,0.060279302,A32,A43,A65,A71,0.280546429,0.179146282,A123,0.154890364,A192,1
A12,0.061631277,A32,A43,A65,A71,0.189238739,0.031147608,A124,0.554226282,A192,1
A11,0.148514596,A34,A40,A61,A75,0.105573809,1,A121,0.3997915,A192,1
A11,0.149866571,A34,A40,A61,A75,0.288189189,1,A121,0.262089459,A192,1
A11,0.08896318,A33,A45,A64,A75,1,1,A124,0.298336692,A191,1
A14,0.089639168,A30,A45,A64,A75,1,0.968852392,A124,0.615051386,A191,1
A11,0.278683879,A31,A40,A65,A73,1,0.333333333,A121,0.30010425,A191,1
A11,0.278007891,A32,A40,A65,A73,1,0.333333333,A122,0.36895527,A191,1
A12,0.669191727,A33,A49,A61,A75,0.947213096,1,A122,0.794348264,A192,1
A13,0.662431851,A33,A49,A61,A75,0.855905405,1,A121,0.835658876,A192,1
A14,0.470588235,A33,A49,A61,A72,0.158360713,0,A122,0.145735136,A191,1
A14,0.470588235,A32,A49,A61,A72,0.432283784,0.093442824,A123,0.15950534,A191,1
A12,0.468404577,A34,A42,A61,A74,0.333333333,0.333333333,A122,0.176214685,A191,1
A12,0.466376614,A32,A42,A61,A74,0.333333333,0.333333333,A122,0.506699583,A191,1
A11,0.150698254,A32,A40,A61,A72,0.947213096,1,A122,0.059327414,A191,1
A11,0.154078192,A32,A40,A61,A72,0.855905405,1,A122,0.086867822,A191,1
A11,0.179382133,A32,A42,A65,A73,0.438907142,1,A122,0.062794593,A191,1
A11,0.182086083,A32,A42,A65,A73,0.621522523,0.937704784,A123,0.021483981,A191,1
A11,0.10735788,A32,A40,A65,A73,1,0.641707435,A122,0.292648643,A191,1
A14,0.106907221,A31,A40,A65,A73,1,0.937704784,A122,0.154946602,A191,1
A12,0.26325011,A32,A42,A65,A73,1,0.666666667,A123,0.112898843,A191,1
A12,0.261898135,A32,A42,A65,A72,1,0.697814275,A121,0.140439251,A191,1
A14,0.205882353,A31,A40,A61,A75,0.438907142,1,A123,0.312205407,A192,1
A14,0.205882353,A32,A40,A61,A75,0.621522523,1,A124,0.353516019,A192,1
A11,0.150698254,A32,A43,A65,A72,0.158360713,0.179146282,A122,0.116887271,A192,1
A14,0.154078192,A32,A43,A65,A72,0.432283784,0.031147608,A123,0.419831761,A192,1
